VFD-E|2.23|8.5A|460V|3.7 ( 5 )|6|11|12|43|19|14|29|14|16|38|29|12|17|
Check    |Pr. No   |MODBUS   |Description     |Unit     |Data     |Default  |Min      |Max      |Attribute|Address  |Dot      |Attribute|
X        |*****    |*****    |0 - User         |*****    |*****    |*****    |*****    |*****    |*****    |*****    |*****    |         |
X        |00-00    |0000H    |Identity code    |####     |11       |4        |0        |23       |Writable |0000     |0        |24577    |
X        |00-01    |0001H    |Rated current    |A        |8.5      |4.2      |0.0      |6553.5   |Read-Only|0001     |1        |8456     |
X        |00-02    |0002H    |Parameter reset  |####     |0        |0        |0        |10       |Writable |0002     |0        |24592    |
X        |00-03    |0003H    |Start-up display |####     |1        |0        |0        |5        |Writable |0003     |0        |18       |
X        |00-04    |0004H    |User display     |####     |0        |0        |0        |16       |Writable |0004     |0        |8210     |
X        |00-05    |0005H    |User-defined K   |####     |1.0      |1.0      |0.1      |160.0    |Writable |0005     |1        |1298     |
X        |00-06    |0006H    |Power SW Ver     |####     |1.23     |0.00     |0.00     |655.35   |Read-Only|0006     |2        |8712     |
X        |00-07    |0007H    |Control SW Ver   |####     |2.23     |0.00     |0.00     |655.35   |Read-Only|0007     |2        |520      |
X        |00-08    |0008H    |Password disable |####     |0        |0        |0        |9999     |Writable |0008     |0        |16       |
X        |00-09    |0009H    |Password input   |####     |0        |0        |0        |9999     |Writable |0009     |0        |16       |
X        |00-10    |000AH    |Sensorless mode  |####     |0        |0        |0        |1        |Writable |000A     |0        |8208     |
X        |00-11    |000BH    |Reserve          |####     |0        |0        |0        |1        |Read-Only|000B     |0        |8201     |
X        |00-12    |000CH    |50Hz Volt Base   |####     |0        |0        |0        |1        |Writable |000C     |0        |8192     |
X        |*****    |*****    |1 - Basic        |*****    |*****    |*****    |*****    |*****    |*****    |*****    |*****    |         |
X        |01-00    |0100H    |Max output freq  |Hz       |50.00    |60.00    |50.00    |599.00   |Writable |0100     |2        |8720     |
X        |01-01    |0101H    |Max volt freq    |Hz       |50.00    |60.00    |0.10     |599.00   |Writable |0101     |2        |8720     |
X        |01-02    |0102H    |Max Output volt  |V        |415.0    |440.0    |0.1      |510.0    |Writable |0102     |1        |8497     |
X        |01-03    |0103H    |Mid-point freq   |Hz       |1.50     |1.50     |0.10     |599.00   |Writable |0103     |2        |8720     |
